reference_id,year,title,doi,primary_url,local_file,evidence_role,in_numeric_training,transfer_decision,accessed_date
R01,2026,"Deoxygenative Asymmetric Cyanation with P(OEt)3 Employing Cooperative Photoredox Catalysis and Copper Catalysis",10.1021/acs.orglett.5c05116,https://doi.org/10.1021/acs.orglett.5c05116,目标论文_OrgLett2026.pdf,target reaction main article,yes,"Only Table 1/Table 2 and matched SI records are numerical evidence",2026-07-16
R02,2026,"Supporting Information for Deoxygenative Asymmetric Cyanation with P(OEt)3 Employing Cooperative Photoredox Catalysis and Copper Catalysis",10.1021/acs.orglett.5c05116,https://doi.org/10.1021/acs.orglett.5c05116,目标论文_SI_ol5c05116_si_001.pdf,target reaction SI,yes,"Condition screens S1-S5; scope characterization and source-page audit",2026-07-16
R03,2026,"Transferable enantioselectivity models from sparse data",10.1038/s41586-026-10239-7,https://doi.org/10.1038/s41586-026-10239-7,方法学_Nature2026_Transferable_enantioselectivity_models.pdf,methodology,no,"Motivates mechanistic descriptors and nested validation; its reaction rows are not chemically pooled",2026-07-16
R04,2026,"Ligand-mediated radical orientation enables asymmetric cyanation of unstabilized alkyl C-radicals",10.1038/s41929-026-01573-0,https://doi.org/10.1038/s41929-026-01573-0,最新旁证_NatureCatalysis2026_SI.pdf,mechanistic stress test,no,"Different BoxOH/H-bonding system; supports radical-class refusal",2026-07-16
R05,2026,"Asymmetric Radical Allylic Cyanation of Electron-Deficient Alkenes with a Low Copper Catalyst Loading: Development and Mechanism",10.1021/jacs.6c05474,https://doi.org/10.1021/jacs.6c05474,最新机理旁证_JACS2026_ja6c05474_SI.pdf,mechanistic stress test,no,"Different allylic network; supports solvent/speciation caution",2026-07-16
R06,2025,"Mechanistic Insights into Copper-Catalyzed Asymmetric Cyanation of Allylic C-H Bonds",10.1021/jacs.5c03680,https://doi.org/10.1021/jacs.5c03680,机理旁证_JACS2025_ja5c03680_SI.pdf,mechanistic stress test,no,"Different reaction network; supports explicit solvent and speciation limits",2026-07-16
R07,2025,"Asymmetric Alkoxycarbonyl-Cyanation of Styrenes via Photoredox and Copper Catalysis",10.1021/acscatal.5c04002,https://doi.org/10.1021/acscatal.5c04002,相关体系_ACSCatal2025_cs5c04002_SI.pdf,negative transfer test,no,"Different radical-generation and alkene-addition pathway; no numerical pooling",2026-07-16
R08,2025,"Asymmetric Cyanoesterification of Vinylarenes by Electrochemical Copper Catalysis",10.1038/s41467-025-62137-7,https://doi.org/10.1038/s41467-025-62137-7,相关体系_NatureCommunications2025_SI.pdf,negative transfer test,no,"Electrochemical mechanism and reaction class differ; no numerical pooling",2026-07-16
R09,2024,"Copper-Catalyzed Asymmetric Tertiary Radical Cyanation for the Synthesis of Chiral Tetrasubstituted Monofluoroacyl Nitriles",10.1021/acs.orglett.4c03914,https://doi.org/10.1021/acs.orglett.4c03914,相关体系_OrgLett2024_ol4c03914_SI.pdf,negative transfer test,no,"Tertiary radical and ligand pocket differ; treated as out of domain",2026-07-16
R10,2025,"Kharasch-Type Haloalkylation of Alkenes by Photoinduced Copper Catalysis",10.1021/jacs.5c05699,https://doi.org/10.1021/jacs.5c05699,背景_Kharasch_photoinduced_copper_catalysis.pdf,photochemical copper background,no,"Different product-forming step and non-asymmetric objective",2026-07-16
R11,1991,"A Survey of Hammett Substituent Constants and Resonance and Field Parameters",10.1021/cr00002a004,https://doi.org/10.1021/cr00002a004,,descriptor source,yes,"Only tabulated sigma_m/sigma_p constants are used; ortho values are not imputed",2026-07-16
R12,2026,"PubChem PUG REST property records",,https://pubchem.ncbi.nlm.nih.gov/docs/pug-rest,PubChem API responses recorded in pubchem_properties.csv,data quality,no,"Formula and identifier cross-check only; properties excluded from final model",2026-07-16
R13,2025,"RDKit 2025.09.6 descriptor calculation",,https://www.rdkit.org/docs/,rdkit_descriptors.csv,data quality,no,"Structure parsing and molecular-formula cross-check only; descriptors excluded from final model",2026-07-16
R14,2024,"Free-Radical Deoxygenative Amination of Alcohols via Copper Metallaphotoredox Catalysis",10.1021/jacs.4c04477,https://doi.org/10.1021/jacs.4c04477,扩展语料_仅本地核查/carson-et-al-2024-free-radical-deoxygenative-amination-of-alcohols-via-copper-metallaphotoredox-catalysis-1.pdf,mechanism reference,no,"Supports pathway-factor inventory only; different product-forming C-N coupling",2026-07-18
R15,2021,"Metallaphotoredox-enabled deoxygenative arylation of alcohols",10.1038/s41586-021-03920-6,https://doi.org/10.1038/s41586-021-03920-6,扩展语料_仅本地核查/Zhe.pdf,mechanism reference,no,"Supports alcohol activation context only; Ni/aryl coupling data are not pooled",2026-07-18
