parameter,layer,data_type,definition,unit_or_values,source,model_use,limitation
yield_status,outcome,categorical,Measurement status for yield,measured; trace; not_detected; less_than_50; not_obtained,Target SI Tables S1-S5,censoring guard,trace and n.d. are never converted to a single training number
yield_pct,outcome,numeric,Reported isolated yield,%,Target main Table 2 and SI,substrate target / condition observation,Paper-level values do not include inter-laboratory variance
ee_pct,outcome,numeric,Reported enantiomeric excess,%,Target main Table 2 and SI; chiral HPLC,substrate target / condition observation,Sign/major enantiomer transfer is not modeled
aryl_rings,substrate,numeric,Number of aromatic rings in the carbon-aryl scaffold,count,Manual structure audit against target main/SI,yield and ee descriptor,Coarse topology descriptor
fused_aromatic,substrate,binary,Fused aromatic system flag,0 or 1,Manual structure audit against target main/SI,yield and ee descriptor,Does not encode fusion geometry
cyclic_center,substrate,binary,Cyclic stereogenic/radical-center scaffold flag,0 or 1,Manual structure audit against target main/SI,yield and ee descriptor plus warning,Only one in-domain cyclic example
alpha_chain_carbons,substrate,numeric,Carbon count in the non-aryl chain attached at the radical center,count,Manual structure audit against target main/SI,yield and ee descriptor,Branching and conformations are compressed
ortho_sub_count,substrate,numeric,Number of ortho ring substituents,count,Manual structure audit against target main/SI,yield and ee descriptor,Steric size is not continuous
meta_sub_count,substrate,numeric,Number of meta ring substituents,count,Manual structure audit against target main/SI,ee expanded descriptor,Sparse support
para_sub_count,substrate,numeric,Number of para ring substituents,count,Manual structure audit against target main/SI,ee expanded descriptor,Sparse support
hammett_sigma_mp,substrate,numeric,Hammett sigma_m or sigma_p constant for mapped substituent,dimensionless,Hansch-Leo-Taft Chem. Rev. 1991; DOI 10.1021/cr00002a004,yield and ee descriptor,Ortho and multi-substituent effects are not imputed as universal constants
halogen_count,substrate,numeric,Count of halogen atoms represented in the curated scaffold,count,Manual structure audit,ee expanded descriptor,Does not encode identity/polarizability independently
edg_count,substrate,numeric,Count of curated electron-donating groups,count,Manual classification supported by Hammett sign,ee expanded descriptor,Binary class simplification
ewg_count,substrate,numeric,Count of curated electron-withdrawing groups,count,Manual classification supported by Hammett sign,ee expanded descriptor,Binary class simplification
sidechain_polar_count,substrate,numeric,Count of curated polar functional motifs in side chain,count,Manual structure audit,yield and ee descriptor plus warning,Not a solvent-accessible-surface descriptor
radical_class,domain,categorical,Mechanistic class of the carbon radical,benzylic; heteroaryl; alpha_carbonyl; propargylic,Target scope structures and reaction rationale,hard refusal gate,Class assignment must be reviewed by a chemist
precursor_type,domain,categorical,Alcohol-derived NHP ether activation class,secondary benzylic; unactivated; tertiary benzylic,Target main scope/failure statement,hard refusal gate,No quantitative precursor reduction-potential model
yield_algorithm,model,categorical,Final yield estimator,Ridge regression,Nested grouped candidate comparison over 26 in-domain rows,candidate ranking,Nested advantage over the mean baseline is not statistically established
yield_alpha,model,numeric,Ridge L2 penalty,30,Selected inside grouped validation,yield hyperparameter,Selection can change with additional families
yield_feature_set,model,list,Active generated feature names,mol_logp; mol_tpsa; mol_fraction_csp3; mol_rotatable_bonds; mol_bertz_complexity; mol_heteroatoms; nitrile_count,RDKit 2025.09.6 official documentation; https://www.rdkit.org/docs/; generated by compute_mechanism_descriptors.py,primary yield model,2D empirical descriptors are not transition-state or quantum descriptors
yield_target_transform,physics,formula,logit transform with clipping before fitting and inverse-logit on output,dimensionless,Bounded-response model implementation in train_v43.py,"keeps yield predictions in [0,100]",Does not model assay censoring in the scope table
yield_manual_fallback,model,categorical,Fallback when a user has not supplied precomputed RDKit descriptors,RBF kernel Ridge on manual_core,Grouped candidate comparison; artifact fallback_models,manual web form only,Lower information content than the primary generated-descriptor model
ee_algorithm,model,categorical,Final ee estimator,RBF kernel Ridge,Nested grouped candidate comparison over 26 in-domain rows,local ee ranking,2n remains an unresolved high-influence exception
ee_alpha,model,numeric,Kernel Ridge regularization,0.1,Selected inside grouped validation,ee hyperparameter,Small-n selection uncertainty
ee_gamma,model,numeric,RBF kernel width parameter,0.1,Selected inside grouped validation,ee hyperparameter,Small-n selection uncertainty
ee_feature_set,model,list,Active curated feature names,aryl_rings; fused_aromatic; cyclic_center; alpha_chain_carbons; ortho_sub_count; hammett_sigma_mp; sidechain_polar_count; meta_sub_count; para_sub_count; halogen_count; edg_count; ewg_count,Target article and SI; DOI 10.1021/acs.orglett.5c05116,ee model,Expert-coded counts do not resolve conformers or catalyst-substrate geometry
ee_transform,physics,formula,DeltaDeltaG = RT ln((1+ee)/(1-ee)),kcal/mol,Thermodynamic selectivity relation at 298.15 K,bounded selectivity target,Reported ee is treated as an effective selectivity ratio
nested_group_mae_yield,validation,numeric,Outer chemical-family grouped MAE,8.029 percentage points,validation_metrics.csv,honest workflow estimate,26 rows from one paper; CI includes no advantage over mean baseline
nested_group_mae_ee,validation,numeric,Outer chemical-family grouped MAE,6.180 percentage points,validation_metrics.csv,honest workflow estimate,Maximum error is 45.207 points at 2n
cross_conformal_half_width_yield,uncertainty,numeric,Empirical cross-conformal half-width from nested out-of-group residuals,20.964 percentage points,model_artifact_v43.json,screening interval,Not strict split-conformal coverage; prospective coverage unknown
cross_conformal_half_width_ee,uncertainty,numeric,Empirical cross-conformal half-width from nested out-of-group residuals,23.112 percentage points,model_artifact_v43.json,screening interval,Not strict split-conformal coverage; prospective coverage unknown
nearest_distance,applicability,numeric,Nearest standardized Euclidean distance in manual_core feature space,dimensionless,26-row training domain,domain grading,Cannot detect every mechanistic change
nearest_distance_q90,applicability,numeric,LOO nearest-neighbour warning threshold,0.722501,applicability_calibration.csv,warn boundary,Empirical and data-set dependent
nearest_distance_q95,applicability,numeric,LOO nearest-neighbour refusal threshold,1.015943,applicability_calibration.csv,distance refusal,Type and pathway gates remain authoritative
strong_para_ewg_rule,applicability,rule,Refuse new ee point prediction when sigma >= 0.60 and para_sub_count >= 1,REFUSE,Observed 2n exception and lack of same-subdomain replicates,prevents unsupported extrapolation,Rule is conservative and must be revisited after prospective examples
condition_multifactor_gate,applicability,rule,Refuse more than one simultaneous screened-factor change,max 1,Target SI uses matched one-factor screens,condition evidence layer,Does not substitute for factorial optimization
gasteiger_charge_family,mechanism_proxy,numeric,"Reaction-centre, nitrile-carbon, aryl-attachment and maximum absolute Gasteiger charges",e,"Gasteiger and Marsili, Tetrahedron 1980, DOI 10.1016/0040-4020(80)80168-2; RDKit",candidate feature testing,"Empirical partial-charge proxy, not NBO/DFT charge"
crippen_descriptor_family,mechanism_proxy,numeric,Molecular and reaction-centre Crippen logP/MR quantities,dimensionless or molar refractivity,"Wildman and Crippen, J. Chem. Inf. Comput. Sci. 1999, DOI 10.1021/ci990307l; RDKit",candidate feature testing,"Fragment estimates, not measured partitioning or polarizability"
mol_tpsa,mechanism_proxy,numeric,Topological polar surface area,angstrom squared,"Ertl et al., J. Med. Chem. 2000, DOI 10.1021/jm000942e; RDKit",primary yield feature,2D topological approximation
topological_complexity_family,mechanism_proxy,numeric,"Fraction Csp3, rotatable bonds, Bertz complexity, atom counts and local graph distances",mixed; see CSV headers,RDKit 2025.09.6 official documentation; https://www.rdkit.org/docs/,candidate feature testing,Topology does not encode solution conformations
solvent_dielectric_constant,condition,numeric,Room-temperature relative permittivity reference value,dimensionless,"Reichardt and Welton, DOI 10.1002/9783527632220",condition similarity audit,Not measured in the reaction mixture; MTBE source remains lower confidence
solvent_reichardt_et30,condition,numeric,Reichardt ET(30) polarity,kcal/mol,"Reichardt and Welton, DOI 10.1002/9783527632220; cross-check DOI 10.1021/acsomega.9b03880",condition similarity audit,Not an independently learned solvent effect
condition_identity_features,condition,categorical,"One-hot solvent, photocatalyst class, Cu source and ligand identity; nominal Cu oxidation state",categorical,Target article and SI; DOI 10.1021/acs.orglett.5c05116,auditable condition vectors,33 sparse matched-control rows do not support arbitrary combinations
qmdesc_atomic_family,qm_ml_proxy,numeric,"ML-predicted Hirshfeld charge, nucleophilic/electrophilic Fukui indices, NMR shielding, bond order and bond length at the product-proxy reaction centre",mixed,"qmdesc 1.0.6; Guan et al., Chem. Sci. 2021, DOI 10.1039/D0SC04823J",challenger feature testing,"Predictions target B3LYP/def2-SVP labels; not a direct DFT calculation and not a transition-state descriptor"
dbstep_sterimol_family,steric_proxy,numeric,"Conformer-ensemble median/min/max/range of B1, B5, L and buried volume along the product nitrile-bearing carbon to aryl-scaffold axis",angstrom or %,"DBSTEP 1.1.0; Liu et al., J. Chem. Inf. Model. 2021, DOI 10.1021/acs.jcim.0c01367",challenger feature testing,"ETKDGv3 plus MMFF94/UFF product-scaffold proxy; axis is not a catalyst-bound transition state"
ligand_sterimol_status,steric_proxy,categorical,Whether L1 ligand Sterimol values are available,not_machine_readable,Target SI ligand label L1,research gap registry,"No machine-readable L1 structure was verified; ligand B1/B5/L are intentionally blank rather than invented"
naphthyl_position,structure_discriminator,numeric,Topological position class for naphthyl attachment,0;1;2,RDKit 2025.09.6 graph analysis,challenger and manual-UI feature,Only defined for the audited product scaffold convention
halogen_identity_family,structure_discriminator,numeric,"F/Cl/Br/I one-hot identity, aryl-halogen atomic-number sum, and ortho substituent van der Waals radius",mixed,RDKit 2025.09.6 graph analysis,challenger and manual-UI feature,Element identity improves differentiation but does not encode catalyst coordination
xgboost_candidate,algorithm,configuration,"Gradient-boosted regression trees with max_depth 1-2, 100 trees, learning_rate 0.05 or 0.1 and strong regularization",configuration,"XGBoost 3.3.0; official documentation https://xgboost.readthedocs.io/",challenger algorithm,"Twenty-six training rows are insufficient for unconstrained tree depth; promotion requires grouped nested non-regression"
champion_challenger_promotion,governance,rule,"Per target require nested grouped MAE gain >=0.30 with non-worse RMSE and maximum absolute error",boolean,Predeclared ChemPredict v4.4.0 release rule,production model selection,"No independent prospective validation set is available; v4.3 remains production champion when the challenger fails"
reaction_system_status,applicability,categorical,UI mode assigned per registered reaction family,quantitative;evidence_only;refusal_only,Literature registry R01-R22,cross-system output guard,Only the target NHP-ether system has numerical training rows
