case_id,source_doi,source_title,precursor_type,radical_class,reaction_family,condition_changes,expected_decision,evidence_role
EXT-01,10.1126/science.aaf7783,Copper-catalyzed radical relay asymmetric C-H cyanation,alkyl_arene,carbon_aryl_benzylic,c_h_radical_relay_asymmetric_cyanation,,REFUSE,external_mechanism_gate
EXT-02,10.1038/s41586-019-1655-8,Copper-catalyzed asymmetric allylic C-H cyanation,alkene,allylic,c_h_hydrogen_atom_transfer_cyanation,,REFUSE,external_mechanism_gate
EXT-03,10.1021/jacs.5c03680,Mechanistic insights into copper-catalyzed asymmetric allylic C-H cyanation,alkene,allylic,c_h_hydrogen_atom_transfer_cyanation,,REFUSE,external_mechanism_gate
EXT-04,10.1021/acs.orglett.4c03914,Copper-catalyzed asymmetric tertiary radical cyanation,tertiary_radical_precursor,tertiary_alpha_fluoroacyl,tertiary_radical_asymmetric_cyanation,,REFUSE,external_mechanism_gate
EXT-05,10.1002/cctc.202500258,Photoinduced copper-catalyzed asymmetric radical sulfonylcyanation,vinylarene,beta_sulfonylalkyl,alkene_sulfonylcyanation,,REFUSE,external_mechanism_gate
EXT-06,10.1002/anie.202505939,Copper-catalyzed asymmetric cyanation of propargylic radicals,allene_or_alkyne,propargylic,propargylic_radical_asymmetric_cyanation,,REFUSE,external_mechanism_gate
EXT-07,10.1021/acscatal.5c01796,Copper-catalyzed enantioselective radical cyanation of allenic C-H bonds,allene,allenyl,c_h_allenic_asymmetric_cyanation,,REFUSE,external_mechanism_gate
EXT-08,10.1021/acscatal.5c04586,Copper-catalyzed asymmetric carbocyanation of dienes and vinylarenes,alkene,alkyl_radical_addition,alkene_carbocyanation,,REFUSE,external_mechanism_gate
EXT-09,10.1038/s41467-024-46713-x,Ni-catalyzed enantioconvergent deoxygenative cross-coupling of alcohols,unactivated_alcohol,alkyl,nickel_deoxygenative_arylation,,REFUSE,external_mechanism_gate
EXT-10,10.1021/jacs.4c04477,Free-radical deoxygenative amination via copper metallaphotoredox catalysis,alcohol,alkyl,copper_deoxygenative_amination,,REFUSE,external_mechanism_gate
EXT-11,10.1021/acs.orglett.5c05116,Target protocol with two simultaneous condition changes,secondary_benzylic_nhp_ether,carbon_aryl_benzylic,nhp_ether_deoxygenative_asymmetric_cyanation,solvent|ligand,REFUSE,multifactor_gate_control
CTRL-2d,10.1021/acs.orglett.5c05116,Known in-domain phenyl control,secondary_benzylic_nhp_ether,carbon_aryl_benzylic,nhp_ether_deoxygenative_asymmetric_cyanation,,ACCEPT,positive_control
